sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
Miley is on a farm .,A farmer shows her how to milk one.,Miley milks her fist cow .,Miley had a fun time milking the cow .,She is curious about the cows.,"milking,milk,milks,shows",fun,2.0,"milking,milk,milks,showsfun"
His teacher chose to put it on as it was very good.,Cedric cast himself as the male but when the girl found out she quit.,A girl Cedric liked tried out for the female lead.,Her boyfriend tried out for the male lead.,Cedric had written a play for Drama class.,"quit,written,liked,tried","found, liked",2.0,"quit,written,liked,triedfound, liked"
He noticed a man standing near a tree.,[NEUTRAL] quickly got away from them .,"Suddenly, Someone ran up to the man and attacked him.",[NEUTRAL] was walking through the park .,The two men began fighting violently .,"attacked,fighting,began,walking,ran","fighting, violently",2.0,"attacked,fighting,began,walking,ranfighting, violently"
[NEUTRAL] called her mom .,[NEUTRAL] needed to call her mom .,[NEUTRAL] found her phone under her couch .,[NEUTRAL] looked all around her house .,[NEUTRAL] 's phone had been missing all morning .,"missing,call,needed,looked","found, couch, missing",2.0,"missing,call,needed,lookedfound, couch, missing"
"Luckily, they had her come to the store and were able to replace it.",She called the store to complain.,"While putting away sausage, she noticed that it was expired.",[NEUTRAL] had just come home from grocery shopping .,She was putting away the food.,"expired,complain,noticed,called,putting","complain, shopping, food",2.0,"expired,complain,noticed,called,puttingcomplain, shopping, food"
When I tasted it it tasted bad.,I picked up a large lollipop.,I went to taste it.,I went to the candy store yesterday .,I started to look at the lollipops.,"taste,picked,started,look",,2.0,"taste,picked,started,look"
[NEUTRAL] is 30 .,[NEUTRAL] still lives at home with his parents .,[NEUTRAL] is left all alone .,[NEUTRAL] moves out and gets his own place .,Charlies parents pass away in a car accident.,"pass,lives,moves,left",accident,2.0,"pass,lives,moves,leftaccident"
[NEUTRAL] loved her job .,They told her she would never grow up.,Her friends made fun of her.,[NEUTRAL] worked as a nanny .,She continued working and did not care what they thought.,"care,continued,grow,worked,working,thought","grow, fun",1.0,"care,continued,grow,worked,working,thoughtgrow, fun"
They became best friends and enjoy playing in the backyard together.,Tina has two dogs .,Tina got a new dog for him to play with .,One day one of the dogs passed away .,Now the other dog felt really lonely.,"passed,felt,play",lonely,2.0,"passed,felt,playlonely"
The man put on his uniform.,He looked in the mirror.,The man wore his dirty uniform to work.,It was his only one.,His uniform was dirty.,"wore,work,looked","dirty, dirty",2.0,"wore,work,lookeddirty, dirty"
The whole family went and watched the game.,Everyone had a great time especially dad.,My sister and I surprised him with some tickets to a ball game.,We go to the ball game once a month now .,My father was saying that he has n't seen a baseball game in years .,"surprised,seen,saying",surprised,2.0,"surprised,seen,sayingsurprised"
[NEUTRAL] was walking on an icy sidewalk .,[NEUTRAL] never leaves home without his snow boots now .,He was wearing the wrong kind of shoes.,He would slip and try to catch himself on the ice.,It took him 50 minutes to walk 50 feet .,"slip,wearing,catch,leaves,walk,try","kind, slip, catch",2.0,"slip,wearing,catch,leaves,walk,trykind, slip, catch"
"I came back, gave the baby the bottle, and then the screaming stopped.",I left the room and walked to the kitchen and prepared a bottle.,I woke up one morning and my newborn baby was screaming .,She asked me if I could go and make a bottle for the baby.,"My wife checked his diaper, but it appeared to be fine.","appeared,prepared,screaming,checked,woke,left,walked,asked","baby, screaming, baby, diaper",2.0,"appeared,prepared,screaming,checked,woke,left,walked,askedbaby, screaming, baby, diaper"
"It was a nice winter day , and [NEUTRAL] needed Something to do .",She looked outside and saw that the pond was frozen.,She laced up her skates and did a few spins on the ice.,Jan had fun ice skating.,She grabbed her ice skates and went outside.,"laced,fun,skating,grabbed,looked,saw",fun,1.0,"laced,fun,skating,grabbed,looked,sawfun"
Everyone in the class laughed at the funny joke.,It was silent in class one day .,[NEUTRAL] told a joke .,Tommy stood up and every looked at him.,[NEUTRAL] was the class clown .,"stood,looked",clown,2.0,"stood,lookedclown"
I eventually found myself dancing on a table with my friends.,My husband convinced me to go home and sleep it off.,I began to sing loudly and off key.,I became less inhibited over time.,I had a few too many drinks at the party.,"inhibited,convinced,sing,became,sleep,began",sing,1.0,"inhibited,convinced,sing,became,sleep,begansing"
On my way to work I stopped to get some coffee.,I went through the drive through and placed my order.,"When she handed me the drink, the lid came off and spilled on me.",The coffee hurt and I had to go home and change clothes.,I paid the cashier and patiently waited for my drink.,"handed,placed,spilled,paid,waited","hurt, change",2.0,"handed,placed,spilled,paid,waitedhurt, change"
[NEUTRAL] loved her husband .,She worked at Starbucks .,She wanted to get him Something special.,[NEUTRAL] got her husband a delicious chocolate drink .,One day she was working late at her job .,"Something,worked,working","special, delicious, chocolate, late",0.0,"Something,worked,workingspecial, delicious, chocolate, late"
The children had a wonderful time and met a new friend to play with.,The [NEUTRAL] family loved to go on day trips on their boat in the summer .,They chose to travel north to a beach that wasn't terribly far away.,They kept in touch with their friend even after they went home.,"One day , they decided it would be fun to take the kids to a new place .","fun,travel,chose,kept,loved","loved, beach, terribly, friend, fun",2.0,"fun,travel,chose,kept,lovedloved, beach, terribly, friend, fun"
She had to wear a neck brace for months .,"Then suddenly, Something spooked the horse.",Ana was riding her horse one afternoon .,Ana landed awkwardly and broke her neck!,It reared up and threw Ana off its back onto the ground.,"reared,spooked,landed,riding,Something,threw,broke","suddenly, broke",1.0,"reared,spooked,landed,riding,Something,threw,brokesuddenly, broke"
It turns out it was in Africa .,[NEUTRAL] was looking for Kenya on the globe .,He looked at the top.,Finally his mother pointed it out.,He looked at the bottom.,"pointed,looked,looking","mother, bottom",2.0,"pointed,looked,lookingmother, bottom"
[NEUTRAL] 's favorite CD was in her car .,She stepped on the CD and cracked it.,She was taking it out to listen to in her house.,[NEUTRAL] had to get a new copy of the CD .,[NEUTRAL] dropped the CD on the ground walking into her house .,"cracked,stepped,listen,dropped,walking",cracked,2.0,"cracked,stepped,listen,dropped,walkingcracked"
[NEUTRAL] 's dad asked her to get firewood .,"Then, she brought them inside.",She went downstairs and then outside.,She grabbed a few logs.,"In the back yard, there was a pile of wood.","grabbed,brought",,2.0,"grabbed,brought"
He could not answer it in time.,He didn't know where it was.,The man heard his phone ring.,He followed the sound.,He found his phone.,"followed,heard,know",found,2.0,"followed,heard,knowfound"
Ina wished she could keep it.,But she knew she had to do the right thing.,[NEUTRAL] took the ring right to the Lost And Found office .,Ina found a golden ring in the hall at school.,It was lovely and looked expensive.,"knew,looked","found, lovely",2.0,"knew,lookedfound, lovely"
Kelly opened up a gift from her grandmother.,"But to be nice, she told her grandmother she liked it.",When she opened it it was a sweater.,The sweater was ugly.,[NEUTRAL] did n't want to wear it .,"wear,opened,liked","liked, ugly",2.0,"wear,opened,likedliked, ugly"
Becky loved her mother.,Her mother called out for her like she always did.,But Becky was in a bad mood and snapped at her mother.,Becky broke her mother's heart when she told her to get a life.,But one evening she broke her mother 's heart .,"snapped,broke,called","mother, like, bad, mother, broke, mother, broke, mother",0.0,"snapped,broke,calledmother, like, bad, mother, broke, mother, broke, mother"
"After I was done, I felt much better.",I sat down and drank my coffee.,I got dressed and grabbed my wallet.,I awoke very tired.,I walked over to the coffee shop and ordered a coffee.,"awoke,dressed,ordered,drank,grabbed,sat,walked",,1.0,"awoke,dressed,ordered,drank,grabbed,sat,walked"
Me and my friend [NEUTRAL] were playing ping pong in my basement .,When I win he makes a bet to get me to play again.,Kyle gets very competitive and I am almost as bad .,I crash right into and knock over an old dresser trying to get ball.,In a few games we are betting lots of money and diving everywhere.,"betting,crash,knock,win,trying,play","bad, crash, money",2.0,"betting,crash,knock,win,trying,playbad, crash, money"
On our way to a party the car stopped dead on an isolated road.,[NEUTRAL] 's brother played his guitar while his girlfriend sang .,The car started right up and made it home like nothing was wrong.,We got hungry so we made picnic from the food we had for the party.,We got out to relax by the creek while waiting for Someone to pass by.,"relax,waiting,started,played","like, picnic, food",2.0,"relax,waiting,started,playedlike, picnic, food"
"Now he had a job , a house , and a daughter who was 5 years old .",[NEUTRAL] decided that he liked other men more than he did his wife .,Pete married when he was very young.,Now he sees his daughter twice a year.,He left her to find his soulmate.,"married,liked,sees,left","liked, young, daughter, soulmate",0.0,"married,liked,sees,leftliked, young, daughter, soulmate"
They decided to ride to her friend's cousin's house.,Amy was sweating and panting as she rode up the hill .,Amy and her friend were riding bikes on a summer afternoon .,There was a steep hill which was hard to ride up.,Amy ended up walking the bike up the hill instead of riding .,"panting,sweating,riding,ride,rode,ended,walking",friend,1.0,"panting,sweating,riding,ride,rode,ended,walkingfriend"
He wanted to be on his high school team in the following year .,He improved his skills at the camp.,[NEUTRAL] was on his middle school basketball team .,He made his high school basketball team.,He attended a summer basketball camp .,"improved,attended","basketball, basketball, basketball",0.0,"improved,attendedbasketball, basketball, basketball"
