sentence1,sentence2,sentence3,sentence4,sentence5
It doesn't stop until high school is over.,[NEUTRAL] is picked on by a bully named [NEUTRAL] every day in school .,"Twenty years later , on a return visit home , [NEUTRAL] stops at McDonalds .",[NEUTRAL] goes on to become a successful millionaire .,He ca n't help but smirk when it is [NEUTRAL] who takes his order .
When they came back her dad found four kittens in the garage .,Leah opened their garage one saturday morning .,She thought she heard Something in the garage.,She ran to get her dad because she was scared.,They made a home out of some boxes that were in the garage.
She snapped at them with a growl.,Another dog tried to steal the bone from her.,She buried her treat in the dirt.,[NEUTRAL] grabbed the bone out of her owner 's hand .,She ran across the yard and began to bury it.
We drove around trying to find it and saw it was packed.,We parked and went inside the bar.,My friend told me about a new bar in town.,My friend saw a handsome man who she liked.,The man walked up to my friend and gave her his number.
[NEUTRAL] boiled hot water .,"After he used the bathroom, he went to sleep.",[NEUTRAL] had diarrhea for two hours .,He placed two bags of green tea in a cup with the hot water .,"When he drinked all of it, his stomach started to hurt."
[NEUTRAL] took a nap .,[NEUTRAL] did not sleep well last night .,[NEUTRAL] also had to go into work early that morning .,His dog woke him up in the middle of the night .,He tried drinking some coffee but he still felt tired.
She sat on the chair laughing with her hand over her racing heart.,She was trying to get off the chair.,But the chair began to flip.,She jumped off the falling chair to keep from falling.,[NEUTRAL] was standing on a kids chair to reach a high shelf .
"The new girl , [NEUTRAL] , did n't let [NEUTRAL] bully her .",[NEUTRAL] was a mean girl .,[NEUTRAL] was worse than [NEUTRAL] .,Nobody liked her but they always gave in to her.,Julie wasn't a mean girl anymore.
Samson was a strong boy .,He couldn't lift the car.,He thought his strength came from pie.,So one day he ate a pie .,And tried to lift a car.
I haven't seen the snake since.,I shooed the snake away with the large stick.,I couldn't find a broom so I found a large stick.,I went inside to get a broom.,The other day I saw a snake out on the lawn .
He could not find his mom.,He screamed out for his mom.,His mom came running.,He looked for his mom.,The boy got scared.
She turned him down.,He did n't have anybody to kiss at midnight .,[NEUTRAL] just stared at the countdown on tv instead .,He asked a pretty girl at the bar if she would like to.,[NEUTRAL] was at the bar for new years .
"She was very small for her age, so it didn't fit well.",She was dressed as a witch.,We tried to get her to say trick or treat.,Every door that opened got told happy birthday instead.,"When she was three years old , we took [NEUTRAL] trick or treating ."
My father went to the store for eggs.,He also decided to get milk.,He drove home and had scrambled eggs for breakfast.,My father picked up eggs and butter.,While he was there they had a sale on butter.
[NEUTRAL] decided to give her speech out loud .,She ended up swallowing it.,She ended up choking on the fly.,I immediately ran to help remove the fly.,"When she was talking, a fly flew into her mouth."
[NEUTRAL] ripped his pants on a fence .,"Next, he went to the mall.",[NEUTRAL] bought a new pair of pants .,He decided to buy new pants.,"First , he went home to change his clothes ."
He wanted to ask [NEUTRAL] to the school dance .,Every time he saw her he got shy and didn't ask.,Jake was a good dancer but he was shy.,Jake said yes and he showed [NEUTRAL] how to dance .,The day before the dance [NEUTRAL] asked [NEUTRAL] .
We did not have a car and took the bus.,We got married a year later .,We stayed at a quiet hotel and had dinner.,I went to North Conway with my girlfriend in 1980 .,We took the bus back to Boston .
[NEUTRAL] had to take out the garbage to the curb .,He then took the large can out to the curb.,"Once the garbage man came, he brought his empty can back inside.",[NEUTRAL] put a new bag in the can and then washed his hands .,He emptied all his small garbage cans into a large garbage can.
They brought sandwiches and pie.,They went to a nearby park.,The [NEUTRAL] went on a family picnic .,The park was near a lake.,"After a few hours , the Smiths went home ."
[NEUTRAL] 's elderly aunt always wore a flowered bonnet on Easter .,Lily thought it would be funny to play a prank on her aunt.,She stuck wildflowers and weeds all over a plain sun hat.,Happy tears welled in old eyes as [NEUTRAL] 's aunt accepted the hat .,Then she gave the hat to her aunt.
Jenny went driving.,She saw Something under a stop sign!,She took it home and loved it forever!,It was a small puppy!,She whistled while she drove.
Alexis had cut down a Christmas tree in the woods .,"Instead, she set it on it's side.","Then, she sawed off the bottom of the tree.",She brought it home and realized it was too tall.,"When she put it up, it was the right size for her ceiling."
"I lived with my sweet grandmother, bless her soul.",I made a copy of her car keys and stole her car while she was asleep.,I was a really naughty teenager.,"I wanted to learn how to drive so bad, but she wouldn't teach me.","To my knowledge, she never found out."
The doctor gave him some medicine and sent him home.,Jo woke up a few day later and felt better .,[NEUTRAL] took his medicine and rested for a few days .,He called into work and then went to the doctor.,Jo woke up feeling very sick and tired.
She noticed a man dropped his wallet in the parking lot.,She ran all the way across the lot to give it back to him.,[NEUTRAL] was leaving work on Tuesday .,"Because [NEUTRAL] was so honest , he gave her 20 dollars .",The man was so happy that his wallet was returned.
[NEUTRAL] had to be sent to the hospital emergency room .,She fell on the way back down.,[NEUTRAL] was playing in the yard .,She broke her arm in two places .,She decided to climb a tree.
His boss forgave him and gave him one more chance.,"When he got there, he apologized to his boss.",He jumped out of bed and got dressed.,"Then, he quickly rode his bike to work.",[NEUTRAL] woke up and noticed he was late for work .
[NEUTRAL] awoke one cold night to a strange noise coming from her window .,She opened the curtain and was happily surprised.,It was a tiny kitten scratching to get in from the cold.,As she was walking to the window she saw a small shadow.,She got out of bed to go see what it was.
[NEUTRAL] took the seeds and planted them .,[NEUTRAL] loves corn .,Soon [NEUTRAL] was eating lots of his corn .,His mom gave him a pack of seeds.,He kept the weeds away.
Jerald got a mechanic to fix his car.,The next day the sedan would n't start !,[NEUTRAL] bought the sedan .,He found an affordable sedan he wanted.,[NEUTRAL] wanted to buy his own car .
Now she was being teased for being orange and discolored!,"This was her first time tanning , and she baked for way too long .","So, she decided to go to a tanning booth to get a tan.",She was in pain and her skin was bright orange.,Sophia had always been teased for being so pale .
